dataset,task_type,model,best_cv_score,test_score,runtime_sec,best_params,best_estimator
adult_income,classification,gradient_boosting,0.8722,0.8772,452.16,"{'model__n_estimators': 266, 'model__learning_rate': 0.05686703188192773, 'model__max_depth': 6}","Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='median')),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['age', 'fnlwgt',
                                                   'education-num',
                                                   'capital-gain',
                                                   'capital-loss',
                                                   'hours-per-week']),
                                                 ('cat',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('encoder',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  ['workclass', 'education',
                                                   'marital-status',
                                                   'occupation', 'relationship',
                                                   'race', 'sex',
                                                   'native-country'])])),
                ('model',
                 GradientBoostingClassifier(learning_rate=0.05699437546014303,
                                            max_depth=8, n_estimators=140,
                                            random_state=42))])"
adult_income,classification,soft_voting_ensemble,,0.8692,,"{'models_used': ['gradient_boosting', 'random_forest', 'decision_tree']}",
adult_income,classification,stacking_ensemble,,0.8686,,"{'models_used': ['gradient_boosting', 'random_forest', 'decision_tree']}",
adult_income,classification,random_forest,0.8619,0.8633,21.5,"{'model__n_estimators': 130, 'model__max_depth': 16}","Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='median')),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['age', 'fnlwgt',
                                                   'education-num',
                                                   'capital-gain',
                                                   'capital-loss',
                                                   'hours-per-week']),
                                                 ('cat',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('encoder',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  ['workclass', 'education',
                                                   'marital-status',
                                                   'occupation', 'relationship',
                                                   'race', 'sex',
                                                   'native-country'])])),
                ('model',
                 RandomForestClassifier(max_depth=20, n_estimators=79,
                                        n_jobs=-1, random_state=42))])"
adult_income,classification,decision_tree,0.8563,0.8587,6.36,"{'model__max_depth': 7, 'model__min_samples_split': 5}","Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='median')),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['age', 'fnlwgt',
                                                   'education-num',
                                                   'capital-gain',
                                                   'capital-loss',
                                                   'hours-per-week']),
                                                 ('cat',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('encoder',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  ['workclass', 'education',
                                                   'marital-status',
                                                   'occupation', 'relationship',
                                                   'race', 'sex',
                                                   'native-country'])])),
                ('model',
                 DecisionTreeClassifier(max_depth=18, random_state=42))])"
adult_income,classification,neural_net,0.8502,0.8534,333.93,"{'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.0686956971492221}","Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='median')),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['age', 'fnlwgt',
                                                   'education-num',
                                                   'capital-gain',
                                                   'capital-loss',
                                                   'hours-per-week']),
                                                 ('cat',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('encoder',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  ['workclass', 'education',
                                                   'marital-status',
                                                   'occupation', 'relationship',
                                                   'race', 'sex',
                                                   'native-country'])])),
                ('model',
                 MLPClassifier(hidden_layer_sizes=(32,),
                               learning_rate_init=0.0006317497929104961,
                               max_iter=500))])"
adult_income,classification,logistic_regression,0.8515,0.8521,4.67,"{'model__C': 0.5338390769475546, 'model__solver': 'lbfgs'}","Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='median')),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['age', 'fnlwgt',
                                                   'education-num',
                                                   'capital-gain',
                                                   'capital-loss',
                                                   'hours-per-week']),
                                                 ('cat',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('encoder',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  ['workclass', 'education',
                                                   'marital-status',
                                                   'occupation', 'relationship',
                                                   'race', 'sex',
                                                   'native-country'])])),
                ('model',
                 LogisticRegression(C=6.978871552928104, max_iter=1000))])"
adult_income,classification,tiny_nas,0.8439,0.8518,,"{'hidden_layer_sizes': (32,), 'activation': 'tanh', 'learning_rate_init': 0.001}","MLPClassifier(activation='tanh', hidden_layer_sizes=(32,), max_iter=300)"
iris,classification,logistic_regression,0.9642,0.9211,0.15,"{'model__C': 0.45408777250937715, 'model__solver': 'lbfgs'}","Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='median')),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['sepallength', 'sepalwidth',
                                                   'petallength',
                                                   'petalwidth']),
                                                 ('cat',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('encoder',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  [])])),
                ('model',
                 LogisticRegression(C=6.978871552928104, max_iter=1000))])"
iris,classification,random_forest,0.9552,0.9211,3.63,"{'model__n_estimators': 188, 'model__max_depth': 20}","Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='median')),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['sepallength', 'sepalwidth',
                                                   'petallength',
                                                   'petalwidth']),
                                                 ('cat',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='most_frequent')),
                                                                  ('encoder',
                                                                   OneHotEncoder(handle_unknown='ignore'))]),
                                                  [])])),
                ('model',
                 RandomForestClassifier(max_depth=20, n_estimators=79,
                                        n_jobs=-1, random_state=42))])"
